claim_id,customer_age,customer_gender,customer_income,policy_type,policy_tenure,premium_amount,claim_amount,vehicle_age,vehicle_type,accident_type,accident_severity,claim_delay_days,police_report,witness_available,repair_estimate,number_of_injuries,hospital_expense,previous_claims,previous_fraud_flags,claim_history,location_risk_score,policy_risk_score,fraud_flag,claim_to_premium_ratio,claim_frequency,high_claim_indicator,claim_delay_category,customer_claim_risk,total_financial_exposure,discrepancy_repair_ratio,unwitnessed_severe_accident,location_severity_index,young_driver_luxury_claim
CLM-2024-11809,42,Female,38154.47,Comprehensive,0.7,1711.46,12098.69,7,Sedan,Multi-Vehicle,Moderate,9,Yes,No,12179.32,0,0.0,2,0,Standard,0.193,0.107,0,7.0692,2.8571,1,Standard,3.0,24278.01,0.0066,0,0.386,0
CLM-2024-29016,20,Male,124356.81,Comprehensive,3.4,1604.27,48726.21,3,Sedan,Single-Vehicle,Moderate,12,No,Yes,28179.52,4,20653.91,1,0,Standard,0.433,0.427,0,30.3728,0.2941,1,Delayed,1.5,97559.64,0.7289,0,0.866,0
CLM-2024-12848,33,Female,38338.29,Collision,5.6,1138.95,17395.94,5,Sedan,Multi-Vehicle,Moderate,31,Yes,No,17137.72,0,0.0,0,0,Clean,0.414,0.545,0,15.2737,0.0,1,Critical,0.0,34533.66,0.0151,0,0.828,0
CLM-2024-19987,53,Female,27866.89,Comprehensive,0.2,2082.74,5785.24,5,Truck,Multi-Vehicle,Minor,4,Yes,No,5780.3,0,0.0,0,0,Clean,0.401,0.483,0,2.7777,0.0,1,Standard,0.0,11565.54,0.0009,0,0.401,0
CLM-2024-10478,26,Male,40333.29,Collision,4.6,1131.18,3237.98,9,Sedan,Multi-Vehicle,Minor,0,Yes,Yes,3199.03,0,0.0,0,0,Clean,0.583,0.388,0,2.8625,0.0,0,Immediate,0.0,6437.01,0.0121,0,0.583,0
CLM-2024-11529,18,Male,31158.99,Collision,5.4,928.84,2819.67,8,Truck,Theft,Minor,4,No,Yes,2895.4,0,0.0,1,0,Standard,0.407,0.456,0,3.0357,0.1852,0,Standard,1.5,5715.07,0.0261,0,0.407,0
CLM-2024-14362,46,Male,35640.78,Comprehensive,2.5,1959.05,18802.06,5,Luxury,Single-Vehicle,Moderate,6,Yes,Yes,18718.22,0,0.0,1,0,Standard,0.545,0.28,0,9.5975,0.4,1,Standard,1.5,37520.28,0.0045,0,1.09,0
CLM-2024-10727,45,Female,44712.85,Comprehensive,5.7,1708.21,3822.78,4,Sedan,Theft,Minor,4,No,No,3788.06,0,0.0,0,0,Clean,0.691,0.436,0,2.2379,0.0,1,Standard,0.0,7610.84,0.0091,0,0.691,0
CLM-2024-27919,60,Female,48488.58,Third-Party,14.6,415.92,11093.21,5,Sedan,Animal Collision,Moderate,12,Yes,,10734.15,0,0.0,2,0,Standard,0.439,0.156,0,26.6715,0.137,1,Delayed,3.0,21827.36,0.0334,0,0.878,0
CLM-2024-23286,51,Female,46967.93,Third-Party,1.9,535.04,45032.64,6,SUV,Multi-Vehicle,Major,1,Yes,Yes,43306.0,1,1889.54,0,0,Clean,0.144,0.242,0,84.1669,0.0,1,Immediate,0.0,90228.18,0.0399,0,0.504,0
CLM-2024-26930,49,Female,48903.47,Comprehensive,3.4,1591.48,4364.02,8,Sedan,Theft,Minor,5,Yes,Yes,4112.43,0,0.0,1,0,Standard,0.075,0.538,0,2.7421,0.2941,1,Standard,1.5,8476.45,0.061,0,0.075,0
CLM-2024-19669,51,Male,70971.8,Comprehensive,2.1,1819.25,1379.91,6,SUV,Single-Vehicle,Minor,3,No,Yes,1176.42,0,0.0,3,0,Frequent,0.566,0.357,0,0.7585,1.4286,0,Standard,4.5,2556.33,0.1715,0,0.566,0
CLM-2024-16906,52,Male,32332.24,Comprehensive,0.9,2112.51,15785.62,5,Sedan,Single-Vehicle,Moderate,1,Yes,No,15916.33,0,0.0,0,0,Clean,0.451,0.229,0,7.4724,0.0,1,Immediate,0.0,31701.95,0.0082,0,0.902,0
CLM-2024-26793,45,Female,38531.96,Comprehensive,3.2,2112.31,6036.34,6,Sedan,Multi-Vehicle,Moderate,26,Yes,Yes,6051.71,0,0.0,0,0,Clean,0.409,0.389,0,2.8577,0.0,0,Delayed,0.0,12088.05,0.0025,0,0.818,0
CLM-2024-22437,45,Female,154124.92,Collision,1.9,1508.24,35256.13,2,SUV,Multi-Vehicle,Major,2,Yes,Yes,22287.73,2,13199.35,0,0,Clean,0.659,0.426,0,23.3757,0.0,1,Immediate,0.0,70743.21,0.5816,0,2.3065,0
CLM-2024-16590,42,Male,147067.08,Collision,10.2,896.24,15279.1,4,Sedan,Single-Vehicle,Moderate,1,No,No,15471.01,0,0.0,1,0,Standard,0.731,0.465,0,17.048,0.098,1,Immediate,1.5,30750.11,0.0124,0,1.462,0
CLM-2024-22911,27,Male,33285.19,Collision,21.6,1806.43,22423.98,8,Sedan,Single-Vehicle,Moderate,1,No,No,3487.67,3,19191.32,2,0,Standard,0.322,0.263,0,12.4134,0.0926,1,Immediate,3.0,45102.97,5.414,0,0.644,0
CLM-2024-12159,51,Female,27626.68,Collision,10.5,751.58,9772.21,8,Sedan,Multi-Vehicle,Minor,11,Yes,Yes,877.35,2,8718.51,1,0,Standard,0.518,0.226,0,13.0022,0.0952,1,Delayed,1.5,19368.07,10.0241,0,0.518,0
CLM-2024-13229,50,Female,101340.3,Third-Party,2.7,845.65,1835.29,3,Sedan,Single-Vehicle,Minor,3,Yes,Yes,1856.38,0,0.0,1,0,Standard,0.298,0.352,0,2.1703,0.3704,0,Standard,1.5,3691.67,0.0113,0,0.298,0
CLM-2024-26920,52,Male,81993.31,Third-Party,4.3,741.99,13331.02,4,SUV,Theft,Moderate,6,Yes,Yes,7366.37,4,6116.92,1,0,Standard,0.123,0.05,0,17.9666,0.2326,1,Standard,1.5,26814.31,0.8086,0,0.246,0
CLM-2024-29198,49,Female,42206.02,Comprehensive,0.2,2069.91,2564.65,5,SUV,Vandalism,Minor,1,Yes,No,2733.66,0,0.0,0,0,Clean,0.511,0.414,0,1.239,0.0,0,Immediate,0.0,5298.31,0.0616,0,0.511,0
CLM-2024-22899,39,Male,36969.94,Third-Party,1.8,574.15,19283.13,3,Sedan,Multi-Vehicle,Moderate,26,Yes,No,10449.02,0,0.0,0,0,Clean,0.741,0.259,1,33.5855,0.0,1,Delayed,0.0,29732.15,0.8446,0,1.482,0
CLM-2024-25519,24,Female,51313.63,Comprehensive,5.0,1494.41,7670.36,4,SUV,Single-Vehicle,Minor,17,No,No,7621.51,0,0.0,0,0,Clean,0.228,0.239,0,5.1327,0.0,1,Delayed,0.0,15291.87,0.0064,0,0.228,0
CLM-2024-22737,69,Female,46225.3,Comprehensive,0.2,2006.89,4980.66,5,Luxury,Multi-Vehicle,Minor,1,No,No,4900.7,0,0.0,0,0,Clean,0.433,0.444,0,2.4818,0.0,1,Immediate,0.0,9881.36,0.0163,0,0.433,0
CLM-2024-11749,35,Male,51298.21,Collision,9.5,1405.06,7326.38,5,SUV,Multi-Vehicle,Minor,0,Yes,No,7439.49,0,0.0,0,0,Clean,0.063,0.856,0,5.2143,0.0,1,Immediate,0.0,14765.87,0.0152,0,0.063,0
CLM-2024-17234,32,Male,64910.32,Comprehensive,0.8,1828.69,56086.35,6,Sedan,Single-Vehicle,Major,1,Yes,Yes,49047.33,1,7028.59,0,0,Clean,0.439,0.451,0,30.6702,0.0,1,Immediate,0.0,112162.27,0.1435,0,1.5365,0
CLM-2024-25196,42,Female,59708.3,Third-Party,6.8,799.92,31637.79,7,SUV,Single-Vehicle,Moderate,11,Yes,Yes,31507.48,0,0.0,2,0,Standard,0.498,0.408,0,39.5512,0.2941,1,Delayed,3.0,63145.27,0.0041,0,0.996,0
CLM-2024-11772,43,Female,,Comprehensive,28.0,768.74,3771.42,6,Truck,Multi-Vehicle,Minor,3,No,No,3976.73,0,0.0,2,0,Standard,0.206,0.097,0,4.906,0.0714,1,Standard,3.0,7748.15,0.0515,0,0.206,0
CLM-2024-13117,32,Female,34271.66,Comprehensive,4.4,1512.41,58037.77,5,Truck,Theft,Major,2,Yes,No,58000.0,0,0.0,2,0,Standard,0.5,0.54,0,38.3744,0.4545,1,Immediate,3.0,116037.77,0.0007,0,1.75,0
CLM-2024-19684,58,Male,40435.62,Collision,0.6,1484.03,36640.83,4,Sedan,Vandalism,Major,4,Yes,No,18929.23,4,17451.53,1,0,Standard,0.298,0.356,0,24.6901,1.6667,1,Standard,1.5,73021.59,0.9352,0,1.043,0
CLM-2024-23538,32,Male,70725.2,Collision,5.9,1361.1,4338.31,6,Sedan,Multi-Vehicle,Minor,1,No,Yes,4225.11,0,0.0,1,0,Standard,0.288,0.125,0,3.1874,0.1695,1,Immediate,1.5,8563.42,0.0267,0,0.288,0
CLM-2024-13996,32,Female,42248.2,Comprehensive,1.3,1547.04,22593.57,10,Luxury,Multi-Vehicle,Moderate,6,Yes,No,22950.5,0,0.0,1,0,Standard,0.268,0.301,0,14.6044,0.7692,1,Standard,1.5,45544.07,0.0155,0,0.536,0
CLM-2024-10345,64,Female,32829.22,Comprehensive,8.5,1622.88,2105.57,4,Truck,Single-Vehicle,Minor,6,No,Yes,2099.31,0,0.0,2,0,Standard,0.534,0.093,0,1.2974,0.2353,0,Standard,3.0,4204.88,0.003,0,0.534,0
CLM-2024-14023,23,Female,38888.8,Comprehensive,8.1,1690.89,4611.04,3,Sedan,Vandalism,Moderate,0,Yes,No,4614.46,0,0.0,1,0,Standard,0.481,0.735,0,2.727,0.1235,0,Immediate,1.5,9225.5,0.0007,0,0.962,0
CLM-2024-10578,59,Female,,Collision,0.2,1056.34,1902.08,7,SUV,Single-Vehicle,Minor,6,No,Yes,2000.04,0,0.0,2,0,Standard,0.555,0.348,0,1.8006,10.0,0,Standard,3.0,3902.12,0.0487,0,0.555,0
CLM-2024-13570,53,Female,39257.6,Comprehensive,2.3,2073.32,2949.92,7,SUV,Multi-Vehicle,Minor,24,Yes,No,2757.63,0,0.0,0,0,Clean,0.117,0.791,0,1.4228,0.0,0,Delayed,0.0,5707.55,0.0695,0,0.117,0
CLM-2024-13390,34,Male,31640.47,Comprehensive,13.4,1479.02,2283.0,5,Sedan,Theft,Minor,2,No,No,2402.85,0,0.0,0,0,Clean,0.231,0.381,0,1.5436,0.0,0,Immediate,0.0,4685.85,0.0497,0,0.231,0
CLM-2024-26418,37,Male,58262.62,Comprehensive,4.9,2374.94,7327.62,7,Sedan,Single-Vehicle,Moderate,6,Yes,No,7080.28,0,0.0,1,0,Standard,0.404,0.3,0,3.0854,0.2041,0,Standard,1.5,14407.9,0.0349,0,0.808,0
CLM-2024-19056,35,Female,63840.03,Comprehensive,1.1,1799.99,5042.02,7,Luxury,Multi-Vehicle,Minor,11,Yes,No,5273.52,0,0.0,0,0,Clean,0.546,0.887,0,2.8011,0.0,1,Delayed,0.0,10315.54,0.0438,0,0.546,0
CLM-2024-21468,18,Female,31652.55,Third-Party,7.9,464.94,16692.39,2,SUV,Theft,Major,2,Yes,Yes,11081.23,1,5618.48,0,0,Clean,0.13,0.515,0,35.9022,0.0,0,Immediate,0.0,33392.1,0.5059,0,0.455,0
CLM-2024-27875,36,Female,56831.14,Comprehensive,4.3,1977.58,13415.99,3,Truck,Multi-Vehicle,Moderate,0,No,No,13122.35,0,0.0,2,0,Standard,0.594,0.537,0,6.784,0.4651,1,Immediate,3.0,26538.34,0.0224,0,1.188,0
CLM-2024-19287,41,Male,85456.61,Collision,0.2,922.31,6738.11,4,SUV,Animal Collision,Minor,1,No,Yes,6773.89,0,0.0,0,0,Clean,0.336,0.652,0,7.3057,0.0,1,Immediate,0.0,13512.0,0.0053,0,0.336,0
CLM-2024-17173,37,Male,55494.82,Third-Party,3.4,601.66,30015.55,1,Sedan,Theft,Moderate,5,Yes,Yes,15665.62,0,0.0,0,0,Clean,0.717,0.372,1,49.8879,0.0,1,Standard,0.0,45681.17,0.9154,0,1.434,0
CLM-2024-16831,38,Female,50930.39,Third-Party,0.5,380.0,4752.28,6,Truck,Animal Collision,Minor,4,No,Yes,3640.19,0,0.0,3,0,Frequent,0.699,0.768,1,12.506,6.0,1,Standard,4.5,8392.47,0.3047,0,0.699,0
CLM-2024-26252,34,Female,26697.93,Comprehensive,5.7,1916.76,4379.86,7,Truck,Multi-Vehicle,Minor,2,Yes,Yes,4403.72,0,0.0,1,0,Standard,0.38,0.569,0,2.285,0.1754,1,Immediate,1.5,8783.58,0.0054,0,0.38,0
CLM-2024-13827,53,Female,67609.48,Third-Party,0.3,626.69,11060.96,9,Sedan,Theft,Moderate,7,Yes,Yes,10810.95,0,0.0,1,0,Standard,0.353,0.326,0,17.6498,3.3333,1,Standard,1.5,21871.91,0.0231,0,0.706,0
CLM-2024-29034,47,Female,56963.93,Comprehensive,0.4,2379.03,26439.72,11,SUV,Single-Vehicle,Major,1,Yes,No,26659.76,0,0.0,1,0,Standard,0.304,0.265,0,11.1137,2.5,0,Immediate,1.5,53099.48,0.0083,0,1.064,0
CLM-2024-18488,37,Male,54827.4,Collision,4.9,1298.6,5131.74,6,SUV,Multi-Vehicle,Minor,20,No,Yes,5279.38,0,0.0,1,0,Standard,0.328,0.65,0,3.9517,0.2041,1,Delayed,1.5,10411.12,0.0279,0,0.328,0
CLM-2024-13661,42,Female,66389.39,Third-Party,6.3,789.42,3435.61,4,Truck,Theft,Minor,4,Yes,No,3409.95,0,0.0,1,0,Standard,0.502,0.552,0,4.3521,0.1587,1,Standard,1.5,6845.56,0.0075,0,0.502,0
CLM-2024-28573,32,Female,31156.84,Collision,0.8,1036.35,1149.35,11,Sedan,Single-Vehicle,Minor,4,Yes,No,1064.16,0,0.0,1,0,Standard,0.698,0.532,0,1.109,1.25,0,Standard,1.5,2213.51,0.0793,0,0.698,0
CLM-2024-25493,46,Female,96705.55,Comprehensive,9.1,1498.58,2532.08,4,Truck,Multi-Vehicle,Minor,21,No,Yes,2461.26,0,0.0,1,0,Standard,0.361,0.363,0,1.6897,0.1099,0,Delayed,1.5,4993.34,0.0287,0,0.361,0
CLM-2024-22175,27,Female,26439.81,Third-Party,6.6,380.0,28588.41,8,SUV,Single-Vehicle,Major,7,Yes,No,28254.19,0,0.0,2,0,Standard,0.104,0.417,0,75.2327,0.303,1,Standard,3.0,56842.6,0.0118,0,0.364,0
CLM-2024-26580,65,Female,36657.11,Third-Party,5.1,1207.46,58197.46,8,SUV,Animal Collision,Major,41,Yes,No,28804.15,0,0.0,3,1,Suspicious,0.546,0.352,1,48.1983,0.5882,1,Critical,8.5,87001.61,1.0201,0,1.911,0
CLM-2024-29840,50,Male,59373.13,Comprehensive,7.9,1612.74,5276.9,7,SUV,Single-Vehicle,Minor,7,No,Yes,5065.35,0,0.0,1,0,Standard,0.414,0.149,0,3.272,0.1266,1,Standard,1.5,10342.25,0.0417,0,0.414,0
CLM-2024-17142,53,Female,48799.74,Collision,2.0,1030.0,73346.55,7,Luxury,Theft,Major,56,Yes,No,34881.77,0,0.0,0,0,Clean,0.438,0.149,1,71.2102,0.0,1,Critical,0.0,108228.32,1.1024,0,1.533,0
CLM-2024-18832,40,Male,85912.39,Comprehensive,0.8,1766.01,6509.44,8,Sedan,Single-Vehicle,Minor,2,No,No,6591.99,0,0.0,2,0,Standard,0.233,0.554,0,3.686,2.5,1,Immediate,3.0,13101.43,0.0125,0,0.233,0
CLM-2024-10096,21,Female,53302.67,Comprehensive,3.0,1876.44,10922.39,1,SUV,Single-Vehicle,Major,0,Yes,Yes,,1,2359.78,0,0,Clean,0.663,0.532,0,5.8208,0.0,0,Immediate,0.0,24204.56,0.0,0,2.3205,0
CLM-2024-13916,38,Male,100739.81,Collision,5.0,1032.67,2695.76,4,Sedan,Multi-Vehicle,Minor,14,No,No,2934.72,0,0.0,0,0,Clean,0.456,0.519,0,2.6105,0.0,0,Delayed,0.0,5630.48,0.0811,0,0.456,0
CLM-2024-16859,73,Female,56392.15,Comprehensive,0.3,1960.75,8352.57,3,SUV,Animal Collision,Minor,4,Yes,No,8277.19,0,0.0,2,0,Standard,0.552,0.516,0,4.2599,6.6667,1,Standard,3.0,16629.76,0.0091,0,0.552,0
CLM-2024-19751,38,Male,43372.46,Collision,1.7,1546.1,17869.43,6,Sedan,Multi-Vehicle,Major,9,Yes,Yes,3906.91,2,13995.01,2,0,Standard,0.432,0.386,0,11.5577,1.1765,0,Standard,3.0,35771.35,3.5647,0,1.512,0
CLM-2024-23603,49,Female,74992.41,Collision,12.0,830.14,6229.63,0,Sedan,Multi-Vehicle,Moderate,3,No,No,6202.08,0,0.0,2,0,Standard,0.565,0.529,0,7.5043,0.1667,0,Standard,3.0,12431.71,0.0044,0,1.13,0
CLM-2024-20624,55,Male,44103.69,Collision,12.8,816.12,25546.41,6,SUV,Single-Vehicle,Total Loss,2,Yes,No,17685.95,1,7767.43,0,0,Clean,0.209,0.359,0,31.3023,0.0,0,Immediate,0.0,50999.79,0.4442,0,1.045,0
CLM-2024-26239,57,Male,42478.31,Collision,11.7,708.0,2028.78,6,Truck,Single-Vehicle,Minor,19,No,Yes,2063.96,0,0.0,0,0,Clean,0.067,0.28,0,2.8655,0.0,0,Delayed,0.0,4092.74,0.017,0,0.067,0
CLM-2024-15307,43,Male,59104.03,Collision,3.0,850.17,31643.99,5,Sedan,Multi-Vehicle,Major,0,Yes,Yes,8263.21,4,23107.51,0,0,Clean,0.357,0.761,0,37.2208,0.0,1,Immediate,0.0,63014.71,2.8261,0,1.2495,0
CLM-2024-20067,31,Male,40892.58,Comprehensive,8.6,1642.57,9082.43,6,SUV,Theft,Moderate,2,Yes,No,8985.67,0,0.0,0,0,Clean,0.473,0.551,0,5.5294,0.0,0,Immediate,0.0,18068.1,0.0108,0,0.946,0
CLM-2024-13158,38,Male,22000.0,Comprehensive,6.7,1807.13,38666.69,3,Truck,Single-Vehicle,Total Loss,6,Yes,No,31123.21,2,7454.28,1,0,Standard,0.596,0.699,0,21.3967,0.1493,0,Standard,1.5,77244.18,0.2423,0,2.98,0
CLM-2024-22444,51,Other,36453.72,Third-Party,0.5,380.0,28920.39,2,SUV,Multi-Vehicle,Moderate,3,Yes,No,16327.03,0,0.0,2,0,Standard,0.666,0.402,1,76.1063,4.0,1,Standard,3.0,45247.42,0.7708,0,1.332,0
CLM-2024-13466,70,Female,42606.46,Third-Party,0.4,815.63,12993.88,13,Sedan,Multi-Vehicle,Minor,5,No,Yes,2609.56,2,10070.63,0,0,Clean,0.5,0.604,0,15.9311,0.0,1,Standard,0.0,25674.07,3.9641,0,0.5,0
CLM-2024-19413,33,Female,57179.97,Comprehensive,3.8,1863.9,40861.69,6,Truck,Theft,Moderate,4,Yes,Yes,33005.96,2,7677.55,1,0,Standard,0.4,0.142,0,21.9227,0.2632,1,Standard,1.5,81545.2,0.2379,0,0.8,0
CLM-2024-26073,59,Male,145972.1,Comprehensive,7.3,2015.04,5615.56,7,Sedan,Single-Vehicle,Moderate,9,Yes,No,5687.59,0,0.0,2,0,Standard,0.525,0.166,0,2.7868,0.274,0,Standard,3.0,11303.15,0.0126,0,1.05,0
CLM-2024-14470,30,Male,28152.99,Third-Party,1.4,380.0,3121.67,6,SUV,Single-Vehicle,Minor,14,No,No,3204.32,0,0.0,0,0,Clean,0.294,0.678,0,8.2149,0.0,0,Delayed,0.0,6325.99,0.0257,0,0.294,0
CLM-2024-27838,19,Female,55458.45,Collision,4.0,684.42,7980.21,4,Truck,Multi-Vehicle,Major,0,No,Yes,8219.78,0,0.0,0,0,Clean,0.207,0.145,0,11.6598,0.0,0,Immediate,0.0,16199.99,0.0291,0,0.7245,0
CLM-2024-13994,32,Male,35541.46,Comprehensive,19.8,1550.68,2594.09,1,SUV,Theft,Moderate,6,Yes,No,2642.59,0,0.0,1,0,Standard,0.273,0.588,0,1.6729,0.0505,0,Standard,1.5,5236.68,0.0183,0,0.546,0
CLM-2024-20200,29,Female,104770.85,Comprehensive,1.9,1715.21,75381.1,8,Truck,Theft,Major,2,Yes,No,26103.25,4,26467.08,1,0,Standard,0.858,0.723,1,43.9486,0.5263,1,Immediate,1.5,127951.43,1.8871,0,3.003,0
CLM-2024-25384,41,Male,57111.34,Collision,4.6,927.94,2473.89,4,SUV,Single-Vehicle,Minor,8,No,Yes,2389.32,0,0.0,1,0,Standard,0.552,0.17,0,2.666,0.2174,0,Standard,1.5,4863.21,0.0352,0,0.552,0
CLM-2024-15926,28,Male,44499.48,Collision,4.1,1333.22,148680.43,8,SUV,Multi-Vehicle,Total Loss,17,Yes,Yes,50879.76,4,25251.7,2,0,Standard,0.348,0.309,1,111.5198,0.4878,1,Delayed,3.0,224811.89,1.9218,0,1.74,0
CLM-2024-23032,36,Female,,Collision,2.1,1367.78,38909.82,6,Luxury,Multi-Vehicle,Major,17,Yes,Yes,22007.54,0,0.0,2,0,Standard,0.725,0.509,1,28.4474,0.9524,1,Delayed,3.0,60917.36,0.7677,0,2.5375,0
CLM-2024-16777,31,Female,33465.88,Comprehensive,2.5,1574.91,23708.53,9,Truck,Multi-Vehicle,Moderate,1,No,Yes,23649.44,0,0.0,0,0,Clean,0.223,0.465,0,15.0539,0.0,1,Immediate,0.0,47357.97,0.0025,0,0.446,0
CLM-2024-15355,41,Male,46229.5,Comprehensive,0.4,2068.03,5044.4,5,Sedan,Multi-Vehicle,Minor,7,No,No,5011.62,0,0.0,1,0,Standard,0.37,0.622,0,2.4392,2.5,1,Standard,1.5,10056.02,0.0065,0,0.37,0
CLM-2024-11045,31,Male,,Third-Party,1.0,904.02,12861.34,4,SUV,Single-Vehicle,Moderate,4,Yes,Yes,8311.29,1,4289.67,1,0,Standard,0.511,0.368,0,14.2268,1.0,1,Standard,1.5,25462.3,0.5468,0,1.022,0
CLM-2024-16694,50,Female,45985.09,Comprehensive,5.4,1635.89,4125.68,4,Sports,Multi-Vehicle,Minor,0,Yes,No,4402.49,0,0.0,0,0,Clean,0.35,0.641,0,2.522,0.0,1,Immediate,0.0,8528.17,0.0627,0,0.35,0
CLM-2024-20261,22,Female,85370.72,Comprehensive,9.7,1672.06,57904.82,6,SUV,Multi-Vehicle,Total Loss,0,No,Yes,58000.0,0,0.0,1,0,Standard,0.089,0.219,0,34.6308,0.1031,1,Immediate,1.5,115904.82,0.0016,0,0.445,0
CLM-2024-19900,34,Female,104777.07,Comprehensive,1.1,1654.56,3991.92,2,Sedan,Multi-Vehicle,Moderate,12,No,No,4059.61,0,0.0,0,0,Clean,0.309,0.386,0,2.4127,0.0,0,Delayed,0.0,8051.53,0.0166,0,0.618,0
CLM-2024-19454,59,Female,39143.86,Third-Party,5.3,380.0,35913.5,5,SUV,Single-Vehicle,Moderate,2,Yes,Yes,18687.18,3,17307.08,1,0,Standard,0.559,0.362,0,94.5092,0.1887,1,Immediate,1.5,71907.76,0.9213,0,1.118,0
